repeat,seed,n_test,event_rate_test,roc_auc,pr_auc,brier,acc
0,42,33,0.45454545454545453,0.7351851851851852,0.6440242700769017,0.22119488660717387,0.7272727272727273
1,43,33,0.45454545454545453,0.6000000000000001,0.5477695261315951,0.25309386650911014,0.6060606060606061
2,44,33,0.45454545454545453,0.538888888888889,0.518795751941532,0.2850647970935487,0.6363636363636364
3,45,33,0.45454545454545453,0.5407407407407409,0.597589859364053,0.27421493677085085,0.6363636363636364
4,46,33,0.45454545454545453,0.6037037037037037,0.5539281497498261,0.25147660436747954,0.6060606060606061
5,47,33,0.45454545454545453,0.5740740740740741,0.5599027423517678,0.2570244635325812,0.6060606060606061
6,48,33,0.45454545454545453,0.6074074074074075,0.5919520202020202,0.25178497718544707,0.6060606060606061
7,49,33,0.45454545454545453,0.6148148148148149,0.6062416763774812,0.24352688538555078,0.5757575757575758
8,50,33,0.45454545454545453,0.6185185185185186,0.5723947207762998,0.24894469484278994,0.6363636363636364
9,51,33,0.45454545454545453,0.6259259259259259,0.58132121161103,0.24355388470221992,0.6363636363636364
10,52,33,0.45454545454545453,0.6074074074074074,0.5737928064620305,0.25162254890854446,0.5757575757575758
11,53,33,0.45454545454545453,0.7037037037037037,0.6335540385540386,0.21971761424782157,0.696969696969697
12,54,33,0.45454545454545453,0.6333333333333333,0.6208930883930883,0.23561791890884845,0.696969696969697
13,55,33,0.45454545454545453,0.6277777777777778,0.5912267327902003,0.23535227918167448,0.5757575757575758
14,56,33,0.45454545454545453,0.5703703703703704,0.535433478254405,0.2562670537565758,0.5757575757575758
15,57,33,0.45454545454545453,0.4518518518518518,0.4544450973096109,0.3080948159746643,0.5151515151515151
16,58,33,0.45454545454545453,0.6,0.5070917261427007,0.24472502116800018,0.5454545454545454
17,59,33,0.45454545454545453,0.6666666666666667,0.689168430335097,0.2293926670338331,0.5757575757575758
18,60,33,0.45454545454545453,0.7962962962962963,0.7152222046958889,0.19881461000047862,0.7272727272727273
19,61,33,0.45454545454545453,0.788888888888889,0.6795780635486517,0.20031865505392413,0.696969696969697
20,62,33,0.45454545454545453,0.6444444444444445,0.6028330655310277,0.24168833172419754,0.6060606060606061
21,63,33,0.45454545454545453,0.7740740740740741,0.718686412353079,0.21093783495569685,0.7575757575757576
22,64,33,0.45454545454545453,0.8074074074074075,0.722037518037518,0.2007172450907548,0.7575757575757576
23,65,33,0.45454545454545453,0.5814814814814815,0.5210066958309014,0.25019775812544653,0.6060606060606061
24,66,33,0.45454545454545453,0.6518518518518519,0.5762679049345716,0.24180364128421455,0.6363636363636364
25,67,33,0.45454545454545453,0.5444444444444445,0.4798248645202243,0.2690529657267264,0.5151515151515151
26,68,33,0.45454545454545453,0.7481481481481482,0.8065556011676701,0.21368971755060542,0.696969696969697
27,69,33,0.45454545454545453,0.7074074074074075,0.6006245556129457,0.21766250908475746,0.6666666666666666
28,70,33,0.45454545454545453,0.7,0.6548325113998488,0.21858918066717514,0.6666666666666666
29,71,33,0.45454545454545453,0.5555555555555557,0.5464714963946599,0.2525219801189041,0.5757575757575758
30,72,33,0.45454545454545453,0.6037037037037037,0.5570838712943976,0.25366740230407075,0.6363636363636364
31,73,33,0.45454545454545453,0.5814814814814815,0.5132706474811738,0.26903828427167464,0.6363636363636364
32,74,33,0.45454545454545453,0.7111111111111111,0.7596067739927389,0.21462971712760107,0.6363636363636364
33,75,33,0.45454545454545453,0.711111111111111,0.6593878374840371,0.2164252834199905,0.696969696969697
34,76,33,0.45454545454545453,0.4703703703703703,0.43954900788666895,0.3003750978364985,0.48484848484848486
35,77,33,0.45454545454545453,0.6185185185185185,0.6254510007872076,0.23930373331861543,0.6666666666666666
36,78,33,0.45454545454545453,0.7222222222222222,0.764842539505583,0.22041109702413839,0.6666666666666666
37,79,33,0.45454545454545453,0.6074074074074074,0.6300238896905563,0.25057001407531365,0.6060606060606061
38,80,33,0.45454545454545453,0.5888888888888889,0.564144538063762,0.2552753872255735,0.6060606060606061
39,81,33,0.45454545454545453,0.5259259259259259,0.5097912417553913,0.2796673255651898,0.5454545454545454
40,82,33,0.45454545454545453,0.6888888888888889,0.7440965608465608,0.21978018166752475,0.696969696969697
41,83,33,0.45454545454545453,0.6037037037037036,0.5632791238033173,0.24638759249745715,0.6363636363636364
42,84,33,0.45454545454545453,0.5037037037037038,0.46683752757148467,0.27784620540860067,0.5454545454545454
43,85,33,0.45454545454545453,0.6407407407407407,0.6206759715380405,0.2340969248178684,0.6060606060606061
44,86,33,0.45454545454545453,0.7074074074074075,0.7553625486651465,0.2280518331013018,0.5757575757575758
45,87,33,0.45454545454545453,0.5259259259259259,0.5772317903271983,0.2564285569170163,0.5757575757575758
46,88,33,0.45454545454545453,0.6185185185185185,0.5808245263396503,0.24650296263932087,0.6060606060606061
47,89,33,0.45454545454545453,0.5851851851851851,0.6164243455472841,0.26040501000787697,0.696969696969697
48,90,33,0.45454545454545453,0.6074074074074074,0.630354768688102,0.24443471412416262,0.5757575757575758
49,91,33,0.45454545454545453,0.5777777777777777,0.5808849137460638,0.24939584389940211,0.6363636363636364
