repeat,seed,n_test,event_rate_test,roc_auc,pr_auc,brier,acc
0,42,34,0.4411764705882353,0.7157894736842105,0.6870781330430453,0.21184781337672015,0.6764705882352942
1,43,34,0.4411764705882353,0.4807017543859649,0.4785673785587088,0.2893865923541293,0.4411764705882353
2,44,34,0.4411764705882353,0.5894736842105263,0.6204195049589787,0.2472784748919546,0.5588235294117647
3,45,34,0.4411764705882353,0.43157894736842106,0.4216888475022862,0.31170967035720015,0.4411764705882353
4,46,34,0.4411764705882353,0.6456140350877193,0.6463336088937112,0.2289911573849197,0.5294117647058824
5,47,34,0.4411764705882353,0.6526315789473685,0.6959189330097839,0.2298130323503017,0.6764705882352942
6,48,34,0.4411764705882353,0.5298245614035089,0.5130634203241584,0.26413543543371826,0.47058823529411764
7,49,34,0.4411764705882353,0.512280701754386,0.49720201311893775,0.28135340451044283,0.5
8,50,34,0.4411764705882353,0.4280701754385965,0.4446518104652491,0.2980159307466681,0.5
9,51,34,0.4411764705882353,0.4456140350877193,0.42371249069492223,0.28660379946834286,0.5
10,52,34,0.4411764705882353,0.5192982456140351,0.5528204346646376,0.2749647308025637,0.47058823529411764
11,53,34,0.4411764705882353,0.4105263157894737,0.48131129375452775,0.28915111983495395,0.5
12,54,34,0.4411764705882353,0.5964912280701754,0.6051431043591236,0.2518480779412347,0.5588235294117647
13,55,34,0.4411764705882353,0.45614035087719296,0.5402406405337036,0.2732840162667401,0.4411764705882353
14,56,34,0.4411764705882353,0.5614035087719298,0.5445437358611823,0.26791091179394916,0.5294117647058824
15,57,34,0.4411764705882353,0.7052631578947368,0.6722644971775407,0.21874441336282394,0.6764705882352942
16,58,34,0.4411764705882353,0.47017543859649125,0.4410706388674904,0.28028935232877705,0.5
17,59,34,0.4411764705882353,0.4807017543859649,0.5168654572457818,0.2767428029134048,0.5294117647058824
18,60,34,0.4411764705882353,0.5543859649122806,0.5095302352910598,0.2670276427522258,0.5
19,61,34,0.4411764705882353,0.4736842105263158,0.4719965476166811,0.2713087043597587,0.4117647058823529
20,62,34,0.4411764705882353,0.6421052631578947,0.7279319900003012,0.23077454651511206,0.6764705882352942
21,63,34,0.4411764705882353,0.47719298245614034,0.5316123179576278,0.28166752390913685,0.5294117647058824
22,64,34,0.4411764705882353,0.6456140350877193,0.5724139503348428,0.2256721593933372,0.6764705882352942
23,65,34,0.4411764705882353,0.6105263157894737,0.5743866610971874,0.24378251238656404,0.5882352941176471
24,66,34,0.4411764705882353,0.6421052631578947,0.6760356619076082,0.22221305459196525,0.7058823529411765
25,67,34,0.4411764705882353,0.368421052631579,0.384984809386768,0.33608502231382403,0.5294117647058824
26,68,34,0.4411764705882353,0.4140350877192983,0.44463490438642567,0.3078156234288678,0.38235294117647056
27,69,34,0.4411764705882353,0.5403508771929825,0.6118217630344555,0.2521732786470259,0.6176470588235294
28,70,34,0.4411764705882353,0.5368421052631579,0.5730831079273794,0.2531279293419952,0.5588235294117647
29,71,34,0.4411764705882353,0.47017543859649125,0.5052864724763945,0.2838697686473373,0.4117647058823529
30,72,34,0.4411764705882353,0.4,0.43041227450020475,0.30613690537884874,0.4411764705882353
31,73,34,0.4411764705882353,0.5298245614035089,0.5532989346157917,0.25974024754494185,0.5588235294117647
32,74,34,0.4411764705882353,0.5719298245614035,0.6536481601590982,0.23916085709960136,0.6176470588235294
33,75,34,0.4411764705882353,0.5964912280701754,0.5876657329598506,0.25279934134423904,0.5588235294117647
34,76,34,0.4411764705882353,0.6140350877192983,0.5876413007282573,0.23600403906317916,0.6176470588235294
35,77,34,0.4411764705882353,0.48070175438596496,0.5493540661763168,0.270913872337966,0.47058823529411764
36,78,34,0.4411764705882353,0.6175438596491227,0.6576542122225233,0.23368721047798524,0.6470588235294118
37,79,34,0.4411764705882353,0.5929824561403509,0.6471510885851048,0.24520262707693632,0.6470588235294118
38,80,34,0.4411764705882353,0.5929824561403508,0.5735098491613918,0.24682864115291406,0.5294117647058824
39,81,34,0.4411764705882353,0.4842105263157895,0.5679782870023626,0.28507862649212606,0.5294117647058824
40,82,34,0.4411764705882353,0.7368421052631579,0.7252303091433525,0.20960082534380287,0.7352941176470589
41,83,34,0.4411764705882353,0.5754385964912281,0.620744794799782,0.24901482766708932,0.47058823529411764
42,84,34,0.4411764705882353,0.4280701754385965,0.4898331325991144,0.31488371999533715,0.47058823529411764
43,85,34,0.4411764705882353,0.5263157894736843,0.5012979453529326,0.2659184165929047,0.5882352941176471
44,86,34,0.4411764705882353,0.6175438596491228,0.6050455347122015,0.23245281637955081,0.6470588235294118
45,87,34,0.4411764705882353,0.4631578947368421,0.4662962918204854,0.2866914893245274,0.5
46,88,34,0.4411764705882353,0.5578947368421053,0.5849029839891908,0.2647669561070573,0.5882352941176471
47,89,34,0.4411764705882353,0.5052631578947369,0.528117201665905,0.263302458106973,0.5294117647058824
48,90,34,0.4411764705882353,0.5192982456140351,0.5937188168239578,0.25722631737259966,0.6176470588235294
49,91,34,0.4411764705882353,0.7157894736842105,0.7210457442105711,0.2131843365419594,0.6764705882352942
